index,run,trial,onset,duration,town,pic,itemNum,resp,respRT,itemType,acc
1,1,1,1.0013,56.0844,Town5,env5,1,stapler,38.184,face,0
2,1,1,1.0013,56.0844,Town5,env5,2,zoey,15.3608,animal,0
3,1,1,1.0013,56.0844,Town5,env5,3,?,2.5357,fruitveg,0
4,1,2,57.1326,8.9479,Town10,env10,1,?,7.6118,animal,0
5,1,2,57.1326,8.9479,Town10,env10,2,?,0.7434,face,0
6,1,2,57.1326,8.9479,Town10,env10,3,?,0.591,fruitveg,0
7,1,3,66.1284,9.7765,Town1,env1,1,emma,8.192,animal,0
8,1,3,66.1284,9.7765,Town1,env1,2,?,1.0557,face,0
9,1,3,66.1284,9.7765,Town1,env1,3,?,0.5268,fruitveg,0
10,1,4,75.9527,3.6335,Town9,env9,1,?,2.5615,fruitveg,0
11,1,4,75.9527,3.6335,Town9,env9,2,?,0.5181,face,0
12,1,4,75.9527,3.6335,Town9,env9,3,?,0.5518,tool,0
13,1,5,79.6327,6.4559,Town11,env11,1,?,5.169,tool,0
14,1,5,79.6327,6.4559,Town11,env11,2,?,0.6138,face,0
15,1,5,79.6327,6.4559,Town11,env11,3,?,0.6714,fruitveg,0
16,1,6,86.1365,3.5703,Town6,env6,1,?,2.5201,tool,0
17,1,6,86.1365,3.5703,Town6,env6,2,?,0.5367,animal,0
18,1,6,86.1365,3.5703,Town6,env6,3,?,0.5118,face,0
19,1,7,89.7533,22.0124,Town12,env12,1,stapler,11.8575,tool,1
20,1,7,89.7533,22.0124,Town12,env12,2,zoey,9.1866,face,1
21,1,7,89.7533,22.0124,Town12,env12,3,?,0.9665,fruitveg,0
22,1,8,111.8136,12.981,Town2,env2,1,mark,8.3667,face,1
23,1,8,111.8136,12.981,Town2,env2,2,?,4.0841,tool,0
24,1,8,111.8136,12.981,Town2,env2,3,?,0.5279,fruitveg,0
25,1,9,124.842,3.144,Town8,env8,1,?,2.0939,fruitveg,0
26,1,9,124.842,3.144,Town8,env8,2,?,0.4969,animal,0
27,1,9,124.842,3.144,Town8,env8,3,?,0.5514,face,0
28,1,10,128.0327,3.7437,Town3,env3,1,?,2.6875,animal,0
29,1,10,128.0327,3.7437,Town3,env3,2,?,0.4793,face,0
30,1,10,128.0327,3.7437,Town3,env3,3,?,0.5752,tool,0
